username,reported_following,reported_followers,processed_following,processed_followers
shockrobortyy,1695,282,1695,4
TristanThrush,0,0,0,0
DublancMartin,0,0,0,0
docpinoAI,0,0,0,0
BonellPatinoE,0,0,0,0
_athleteconnect,530,7,0,0
DanielleJing,0,0,0,0
ludmal,1059,294,1059,0
paranirmal9,246,100,246,0
ohadsamet,189,5969,189,8
davidkmyang,1995,3610,1995,26
nmancuso_,2956,2566,1999,16
SVAIresearch,0,0,0,0
sewon__min,784,12500,784,347
Citifiedio,0,0,0,0
tavesofmel,143,56,0,0
CMRubinWorld,0,0,0,0
TeamLavelle,0,0,0,0
davidtalby,11106,27460,1999,84
KyivskyRus,0,0,0,0
YelisieievYurii,0,0,0,0
RohitT345,0,0,0,0
ArtificialMindz,0,0,0,0
erogol,588,1459,588,19
OpenBlender,0,0,0,0
Neuromorph,0,0,0,0
brentthomas11,6706,1389,2000,0
shiba14857,744,233,744,5
Hamza_Zaman_,0,0,0,0
_yaowu_,1062,595,1062,8
suvsh,1509,768,1509,11
venusatuluri,573,3692,573,19
danielmbrady,133,81,133,0
JonathanSadeghi,0,0,0,0
jason_lopatecki,347,497,347,11
martin_gorner,6179,13513,2000,150
rishdotuk,908,689,907,16
akshitwt,614,2414,614,34
RasmusToivanen,0,0,0,0
Hangsiin,0,0,0,0
RitvikKapila,0,0,0,0
rudzinskimaciej,1450,1630,1450,19
donglixp,3267,4348,2000,166
geifman_y,501,495,501,5
jefrankle,705,19590,705,394
vardaanpahuja,572,271,572,14
thegautamkamath,559,55328,559,433
AlexRobey23,0,0,0,0
yizhongwyz,1468,5437,1468,215
xnodeai,183,15,183,0
straydogblues,64,9,64,0
anjaliimalik,0,0,0,0
KadamMrinal27,0,0,0,0
vincent_koc,5980,9689,2000,89
juliaroz,1792,718,1792,23
KevinKaichuang,0,0,0,0
hno,4000,2037,2000,1
DataCouncilAI,0,0,0,0
OzzyGT,0,0,0,0
t_fornaciari,246,208,246,15
lasha_nlp,1946,3660,1946,199
steve1future,346,8,346,0
AfricanSENS,0,0,0,0
jeffclune,429,28364,429,326
KirkDBorne,0,0,0,0
anirudhbabu_,115,9,115,1
T3Vakfi,0,0,0,0
aligozukaratr,442,325,442,0
ucommontayo,371,5,371,0
billgleim,7502,2283,2000,3
wimlds_cbus,2121,353,2000,5
williampli,4098,1454,0,19
sphonic,4646,1574,2000,1
RitenGohil,0,0,0,0
AlanArazi1536,0,0,0,0
ValentinMabiala,0,0,0,0
LeBronJames,0,0,0,0
tariqbashirdxb,4541,529,2000,0
ErikaLytleMed,0,0,0,0
kamilragimli,594,18510,594,2
virtual_sherpa,508,42,508,0
OrangePilledca,0,0,0,0
dionysianyawp,2207,844,2000,6
mlhobbyist,2266,25456,2000,10
justjoycexo,113,85,0,0
BettneyEsther,0,0,0,0
mstfdrr,1231,15,1231,0
orithellama,692,2652,692,1
jayantr7,7345,919,2000,9
sankeerth1729,2039,832,2000,8
apeelingbananna,209,136,209,0
2prime_PKU,0,0,0,0
furongh,2421,8385,2000,222
papercopilot,1054,1074,1054,19
fengyao1909,467,295,467,21
WenhuChen,0,0,0,0
valzadrija,494,81,494,0
Grant_Van_Horn,0,0,0,0
hjian42,1519,1838,1519,79
vsetlur,569,1816,569,29
rlacombe,6455,6758,6455,38
Retail_Reaper_,0,0,0,0
i_can_never_die,171,9,171,0
SaifSaifee_dev,0,0,0,0
zipboardco,4113,1586,4113,0
LisaAlazraki,0,0,0,0
SarahWi8,0,0,0,0
PatrickKidger,0,0,0,0
ricardovinuesa,1578,5792,1578,12
DavesHomeLoan,0,0,0,0
HHS_TechPolicy,0,0,0,0
pavakshah,2744,299,2744,1
juliaferraioli,1698,19146,1698,51
kencheney,7497,1186,7497,2
